,station_0,station_1,station_2,station_3,station_4,station_5,station_6,station_7,station_8,station_9,station_10,station_11,station_12,station_13,station_14,station_15,station_16,station_17,station_18
station_0,0.0,1.1,1.55,0.78,0.9,1.33,0.66,0.74,1.22,0.33,0.75,0.78,0.36,0.73,0.16,0.25,1.22,0.67,0.18
station_1,1.1,0.0,2.52,1.53,1.64,2.3,1.41,1.72,2.2,1.49,1.5,1.53,1.37,0.6,0.95,0.85,1.97,1.42,1.24
station_2,1.59,2.6,0.0,1.36,1.47,0.41,1.16,0.88,0.99,1.25,1.33,1.36,1.33,2.44,1.66,1.76,1.22,1.24,1.63
station_3,0.91,1.69,1.33,0.0,0.11,1.11,0.51,0.31,0.9,0.62,0.61,0.11,0.7,1.53,0.98,1.08,0.56,0.52,0.72
station_4,0.04,1.82,1.44,0.11,0.0,1.22,0.65,0.43,1.02,0.73,0.74,0.23,0.94,1.66,1.11,1.22,0.67,0.66,0.85
station_5,1.39,2.4,0.22,1.16,1.28,0.0,0.96,0.69,0.79,1.06,1.13,1.16,1.13,2.24,1.46,1.57,1.02,1.05,1.43
station_6,0.66,1.44,1.12,0.2,0.32,0.9,0.0,0.31,0.79,0.35,0.17,0.2,0.3,1.28,0.73,0.84,0.64,0.09,0.47
station_7,0.74,1.75,0.84,0.52,0.63,0.62,0.31,0.0,0.5,0.41,0.48,0.51,0.49,1.59,0.81,0.92,0.44,0.4,0.79
station_8,1.22,2.23,1.02,0.99,1.11,0.8,0.79,0.5,0.0,0.89,0.96,0.99,0.96,2.07,1.29,1.4,0.41,0.88,1.26
station_9,0.33,1.53,1.21,0.55,0.66,0.99,0.35,0.41,0.89,0.0,0.52,0.55,0.42,0.99,0.4,0.51,0.74,0.44,0.25
station_10,0.75,1.53,1.48,0.18,0.2,1.25,0.36,0.49,1.08,0.71,0.0,0.29,0.66,1.37,0.82,0.93,0.73,0.37,0.57
station_11,0.84,1.85,1.21,0.61,0.73,0.99,0.41,0.2,0.79,0.51,0.58,0.0,0.58,1.69,0.91,1.02,0.44,0.5,0.88
station_12,0.36,1.4,1.29,0.5,0.61,1.07,0.3,0.49,0.96,0.42,0.47,0.5,0.0,1.01,0.43,0.54,0.82,0.39,0.18
station_13,0.73,0.6,2.36,1.37,1.48,2.14,1.24,1.56,2.03,0.99,1.34,1.37,1.21,0.0,0.58,0.48,1.81,1.26,1.08
station_14,0.16,0.95,1.62,0.85,0.97,1.4,0.73,0.81,1.29,0.4,0.82,0.85,0.43,0.58,0.0,0.11,1.29,0.74,0.25
station_15,0.25,0.85,1.72,0.96,1.07,1.5,0.84,0.92,1.4,0.51,0.93,0.96,0.54,0.48,0.11,0.0,1.4,0.85,0.36
station_16,1.08,2.09,1.18,0.85,0.96,0.96,0.65,0.44,0.41,0.74,0.82,0.85,0.82,1.93,1.15,1.25,0.0,0.73,1.12
station_17,0.83,1.62,1.32,0.11,0.23,1.1,0.44,0.31,0.9,0.62,0.08,0.11,0.74,1.45,0.9,1.01,0.55,0.0,0.65
station_18,1.28,1.59,0.6,0.71,1.37,0.47,0.79,1.26,0.25,0.57,0.6,0.18,0.84,0.25,0.36,1.04,0.49,0.0,
